Page ID,Page name,Disclaimer,Amount spent (BAM),Number of ads in Library
332950850203871,Драшко Станивуковић - Draško Stanivuković,Драшко Станивуковић,4026,40
482158128556799,Žurnal magazin,Centar za razvoj medija i analize,1487,96
111544041335161,Antikorupcija info,Antikorupcija info,1294,79
111544041335161,Antikorupcija info,Antikorupcija.info,1247,86
1922268018023038,Raskrinkavanje,UG Zašto ne,1232,103
1570886583203959,Poslovni portal Capital.ba,Capital Media,1222,51
162926690478548,Oslobodjenje,Oslobodjenje,1081,13
747053091978616,Fokus.ba,FOKUS d.o.o. Sarajevo,890,8
709560912457316,Analiziraj.ba,Udruženje Centar za analizu medija i politike,818,38
103088084884704,Fondacija Atelje za društvene promjene - ACT,Fondacija Atelje za društvene promjene - ACT,810,34
109652028193268,Revizije info,Revizije info,803,51
102667249419191,GenChange,Arijana Trle,700,20
147315858633088,Istinomjer,Istinomjer,529,64
106759774541544,PratimoTendere.ba,Centar za razvoj medija i analize,503,54
120481645203741,Dragan Bursać,Dragan Bursać,471,21
1494057107558990,Javna rasprava,Javna rasprava,466,73
1533737623509285,SNSD Banja Luka - СНСД Бања Лука,SNSD - Gradski odbor Banja Luka,402,3
104992122558073,Valter.Portal,Valter.Portal,340,11
1473660889517303,Irfan Čengić,Irfan Cengic,327,5
110760128594320,Muhamed Hasanović,Muhamed Hasanovic,308,20
111036544986006,Bink LLC,These ads ran without a disclaimer,302,6
124306738411862,InfoRadar,Udruženje za medijski aktivizam (UMA),292,16
2401351939921390,Raport.ba,Raport Media Group,236,3
1637100656579044,Began Muhić - v.d. gradonačelnika Živinica,Began Muhić - v.d. gradonačelnika Živinica,230,3
1894157260888813,Dr Vlado Đajić - Др Владо Ђајић,Vlado Đajić,198,7
197596636939679,tacno.net,Tacno.net,180,8
1637100656579044,Began Muhić - v.d. gradonačelnika Živinica,Began Muhić - v.d. gradonačelnik Živinica,175,6
163080080447411,Републичка странка Српске,Filip Lučić,171,12
106460785543001,Business Ombudsman Initiative in BiH,West East Forum for Ethics and Compliance,156,3
326185650853734,Zukan Helez,OO SDP BiH Bugojno,145,26
100733242113653,Porodice 3 plus,Porodice 3 plus,113,7
1454304308161318,"Koalicija ""Pod lupom""","Koalicija ""Pod lupom""",106,3
222968021092962,RTV Slon - Tuzla,RTV SLON,102,3
143699145672946,Centri civilnih inicijativa (CCI),Centri civilnih inicijativa,≤100,2
104428129315361,Hajrudin Kozarević - Kandidat za gradonačelnika grada Živinice,SDP Zivinice,≤100,6
200480966638039,Supremacy 1914,These ads ran without a disclaimer,≤100,3
136088969880141,AirHelp,These ads ran without a disclaimer,≤100,7
143699145672946,Centri civilnih inicijativa (CCI),Centri civilnih inicijativa (CCI),≤100,3
85069283164,Admir Čavalić,Admir Čavalić,≤100,2
100291101730616,Jasmin Ademović,Jasmin Ademovic,≤100,4
151296002169571,Jelena Trivic,Jelena Trivic,≤100,5
506759763041477,Čapljina u srcu,Pero Previšić,≤100,7
104197490039539,N1 Bosna i Hercegovina,N1 BiH,≤100,2
628806173978483,CAT Bosna i Hercegovina,CAT Bosna i Hercegovina,≤100,2
1407894932868655,Omladinski Pokret Revolt,Omladinski pokret Revolt,≤100,3
109774791831087,Славенко Ристић - лидер Републичке странке Српске,Славенко Ристић - лидер Републичке странке Српске,≤100,4
9659541299,Radio Sarajevo,These ads ran without a disclaimer,≤100,4
109774791831087,Славенко Ристић - лидер Републичке странке Српске,Filip Lučić,≤100,3
306474736844372,Narod i Pravda Novi Grad Sarajevo,Narod i Pravda Novi Grad Sarajevo,≤100,4
163080080447411,Републичка странка Српске,Републичка странка Српске,≤100,4
103513868280409,Azhar Sejarić - Zastupnik u Skupštini USK,Azhar Sejarić,≤100,2
102224898933734,MindDig,These ads ran without a disclaimer,≤100,4
106293961914359,Green Future Conference,These ads ran without a disclaimer,≤100,1
2370378899645516,Vakcine.ba,These ads ran without a disclaimer,≤100,1
102437165128755,Anel Ibeljić,Anel Ibeljic,≤100,4
105066375012197,Kenan Magoda,Kenan Magoda,≤100,2
1508133079498226,Grad Živinice,Grad Živinice,≤100,2
133098676736404,Ramo Isak,DEVDOT S.D.,≤100,2
585772551567679,Perspektiva,Perspektiva,≤100,2
1071482199569006,Уједињена Српска - Ujedinjena Srpska,Ujedinjena Srpska,≤100,2
184286258994892,Др Ненад Стевандић,Ujedinjena Srpska,≤100,2
104089781069241,infoVeza,"Udruženje građana ""ReStart Srpska""",≤100,2
740954555997446,SDA Jablanica,SDA Jablanica,≤100,4
101653285444113,SK텔레콤 뉴스룸,These ads ran without a disclaimer,≤100,1
103027944875536,Маја Драгојевић Стојић - Maja Dragojević Stojić,Предраг Кукољ,≤100,4
100337704927225,Dučić Arslan,Arslan Ducic,≤100,2
753740401664958,Omer Berbić - vijećnik u GV Tuzla,Omer Berbic,≤100,1
1588013511420367,Almir Babajić,Almir Babajić,≤100,3
300938656761371,Fondacija Boris Divković,Fondacija Boris Divković,≤100,1
100187109256916,Ustajte Diskriminisani,Ustajte Diskriminisani,≤100,4
417853371621843,Mirnes Ajanović,Mirnes Ajanović,≤100,4
102092095798552,BLink.ba,Vedran Sevcuk,≤100,4
105085525653191,Предраг Кукољ - Predrag Kukolj,Предраг Кукољ,≤100,3
899012453512935,Nikad nije kasno,These ads ran without a disclaimer,≤100,1
968019463291751,Arnel Isak,DEV DOT,≤100,2
308906933309467,Mirsad Hadžikadić,Selma Turkić,≤100,1
332496257320171,Alen Girt,Alen Girt,≤100,1
274629142729439,OO SDP Bugojno,OO SDP BiH Bugojno,≤100,3
104992122558073,Valter.Portal,These ads ran without a disclaimer,≤100,1
111162291568245,Nijaz Helez,OO SDP BiH BUGOJNO,≤100,2
112067388546292,Nasrudin IzMaglaja,These ads ran without a disclaimer,≤100,4
113902691579245,Amer Avdičević,Amer Avdičević,≤100,2
1607622842896752,interview.ba,Fondacija Infohuse,≤100,2
119698898115100,Vedad Deljković info,Vedad Deljković,≤100,7
717865981730224,Belmin Zukan,Belmin Zukan,≤100,4
100791536326177,Eli Ćišić,These ads ran without a disclaimer,≤100,2
129224207219445,Merima Arnautović,Merima Arnautović,≤100,1
105767481295394,Ahmed Kosovac,Ahmed Kosovac,≤100,1
103398605332895,Kreševski građanski pokret,These ads ran without a disclaimer,≤100,1
2430163100537312,Spin Info,Spin Media,≤100,1
104092069268284,Possesso nekretnine,These ads ran without a disclaimer,≤100,2
246422585907712,Wekeo,These ads ran without a disclaimer,≤100,2
107064071522979,Hello home decor,These ads ran without a disclaimer,≤100,1
113288987176405,Zlatko Miletić,These ads ran without a disclaimer,≤100,1
101820526552763,Biscani.net,Biscani.net,≤100,1
913845538797422,NOMAD.ba,These ads ran without a disclaimer,≤100,1
260856121486607,Fakultet šumarstva i drvne tehnologije Zagreb,These ads ran without a disclaimer,≤100,1
302010117081685,CIOM-Centar za Islamsko Obrazovanje Matuzići,These ads ran without a disclaimer,≤100,2
100818661526701,Fondacija Alija Izetbegović,These ads ran without a disclaimer,≤100,1
399785513413851,Naša stranka Novo Sarajevo,Naša stranka Novo Sarajevo,≤100,1
114256413714270,Da se ne ponovi maj 2014.,Da se ne ponovi maj 2014.,≤100,1
102343781660824,Ajdin Holjan,Ajdin Holjan,≤100,2
241865326873926,lamonabooks,These ads ran without a disclaimer,≤100,1
2148421271917226,Nedim Salihagić,Salihagić Nedim,≤100,2
105066375012197,Kenan Magoda,These ads ran without a disclaimer,≤100,1
108801227559988,Tarik Halilović,These ads ran without a disclaimer,≤100,1
112069987360502,Channel F9,These ads ran without a disclaimer,≤100,1
548577435509026,d&b audiotechnik,These ads ran without a disclaimer,≤100,1
110038557114533,Imagine5,These ads ran without a disclaimer,≤100,1
35335786143,Cat Electric Power,These ads ran without a disclaimer,≤100,1
333293986861604,Jean Richard MusiK,These ads ran without a disclaimer,≤100,2
126166480762310,SelectScience,These ads ran without a disclaimer,≤100,1
107134341801432,"New European Bauhaus: beautiful, sustainable, together",These ads ran without a disclaimer,≤100,1
113388621278432,Freedom for Norway,These ads ran without a disclaimer,≤100,1
371764683018,Bezbednost.org,These ads ran without a disclaimer,≤100,1
1660942834191781,"Nauka govori - UG ""Nauka i svijet""",These ads ran without a disclaimer,≤100,1
267729123927662,We4All,These ads ran without a disclaimer,≤100,1
102500518635499,ENTR en,These ads ran without a disclaimer,≤100,2
106099145362821,Goražde bez pesticida,Harun  Bešlija,≤100,1
109157008010513,Alveda,These ads ran without a disclaimer,≤100,2
1637100656579044,Began Muhić - v.d. gradonačelnika Živinica,These ads ran without a disclaimer,≤100,1
852370551453606,GARP,These ads ran without a disclaimer,≤100,1
195728538050,Netokracija,These ads ran without a disclaimer,≤100,1
102072599470181,Advanced Trading,These ads ran without a disclaimer,≤100,6
105907922339542,Udruženje pripadnica Armije RBiH,These ads ran without a disclaimer,≤100,1
1914522068608165,Autolidersv,These ads ran without a disclaimer,≤100,1
272245566209091,SNSD Čelinac - СНСД Челинац,СНСД Челинац - SNSD Čelinac,≤100,1
363591730423383,GS1 Bosne i Hercegovine,These ads ran without a disclaimer,≤100,1
28312410177,World Food Programme,These ads ran without a disclaimer,≤100,2
104405159011073,Sheba Tel HaShomer Global Division,These ads ran without a disclaimer,≤100,1
771462172882741,OnePath Network,These ads ran without a disclaimer,≤100,1
1607622842896752,interview.ba,These ads ran without a disclaimer,≤100,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,2
102952309457793,History in Number,These ads ran without a disclaimer,≤100,2
109992798294853,Good View Hunting,These ads ran without a disclaimer,≤100,2
1249630708423717,MUNER Motorvehicle University of Emilia-Romagna,These ads ran without a disclaimer,≤100,1
101953493337841,MEBO International,These ads ran without a disclaimer,≤100,1
1457915704536726,Advokatfirmaet Magnus Legal,These ads ran without a disclaimer,≤100,1
1834313933459789,BBC StoryWorks,These ads ran without a disclaimer,≤100,1
124275457632741,ElectronicSpecifier,These ads ran without a disclaimer,≤100,3
111160730747637,Trivia Stars,These ads ran without a disclaimer,≤100,1
405379246524515,DHL Express,These ads ran without a disclaimer,≤100,2
1183996195056831,Sentient,These ads ran without a disclaimer,≤100,1
106892895068657,Reykjavik Science City,These ads ran without a disclaimer,≤100,1
565225540184937,CGTN,These ads ran without a disclaimer,≤100,6
106837661915369,Hatzopoulos S.A.,These ads ran without a disclaimer,≤100,1
299227550122220,Radio Cina Internazionale,These ads ran without a disclaimer,≤100,2
125290077920962,Institut za savremenu umjetnost,These ads ran without a disclaimer,≤100,1
133969887250137,BeWanted Colombia,These ads ran without a disclaimer,≤100,20
576164005783400,LIGS University,These ads ran without a disclaimer,≤100,2
146822255731958,Fast Travel Games,These ads ran without a disclaimer,≤100,1
102912091863686,Volvo Penta on Land,These ads ran without a disclaimer,≤100,1
820262131363591,Arabi21 - عربي21,These ads ran without a disclaimer,≤100,1
418775708189870,Social Movement Technologies,These ads ran without a disclaimer,≤100,1
150830641743673,Tomplay,These ads ran without a disclaimer,≤100,6
1777952132237071,Slované v obrazech a poezii / Slavs in pictures and poetry,These ads ran without a disclaimer,≤100,2
100172476278127,Easy Study,These ads ran without a disclaimer,≤100,1
102252525898596,Lương Y Phạm Văn Thanh,These ads ran without a disclaimer,≤100,1
142914269087072,Cornell Lab of Ornithology,These ads ran without a disclaimer,≤100,1
105607552434777,Instalador Solar,These ads ran without a disclaimer,≤100,1
316496640057,7iber,These ads ran without a disclaimer,≤100,1
79511407410,Mercedes-AMG Petronas F1 Team,These ads ran without a disclaimer,≤100,1
105686442303512,CTGI,These ads ran without a disclaimer,≤100,1
101138836304674,Dave Sharpe,These ads ran without a disclaimer,≤100,1
130136833750497,IELTS Official,These ads ran without a disclaimer,≤100,1
116355337718182,Moli lulu,These ads ran without a disclaimer,≤100,2
100162738241949,Xu Zeyu,These ads ran without a disclaimer,≤100,1
105353131269398,BlueSky Education,These ads ran without a disclaimer,≤100,1
63306224439,Trip.com,These ads ran without a disclaimer,≤100,1
124109327256894,Dra. Ângela Pistão,These ads ran without a disclaimer,≤100,1
109951098709487,Rama Magazin,These ads ran without a disclaimer,≤100,1
110818941452003,Morehackz Stories,These ads ran without a disclaimer,≤100,2
100970059574672,Bisexual.org en Español,These ads ran without a disclaimer,≤100,1
117039841320523,Big Pink Youth Dialogue,These ads ran without a disclaimer,≤100,2
224597158386607,Rosa Luxemburg Foundation,These ads ran without a disclaimer,≤100,3
102207552798601,Youth clicks,These ads ran without a disclaimer,≤100,1
100223749713609,Gear-D,These ads ran without a disclaimer,≤100,1
114826394903822,Ananda,These ads ran without a disclaimer,≤100,1
312898778847834,TERRAM PACIS,These ads ran without a disclaimer,≤100,1
105292151994060,bkr_yang,These ads ran without a disclaimer,≤100,1
113067177682259,PMD - Dogs is my  world,These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,4
106722822373735,The Fun Insider,These ads ran without a disclaimer,≤100,2
102727121816068,Святлана Ціханоўская,These ads ran without a disclaimer,≤100,1
103400352569514,ibrahimbesincitr,These ads ran without a disclaimer,≤100,2
102998939765184,Persian bms,These ads ran without a disclaimer,≤100,3
47815171686,Banyan Tree Hotels & Resorts,These ads ran without a disclaimer,≤100,1
520171088019503,Liforme,These ads ran without a disclaimer,≤100,1
101849728551147,Fun Break Central,These ads ran without a disclaimer,≤100,3
156279764411149,Times Higher Education,These ads ran without a disclaimer,≤100,1
104593458269168,Your Daily Fun Break,These ads ran without a disclaimer,≤100,3
17043549797,MIT Technology Review,These ads ran without a disclaimer,≤100,5
367939743862411,yomisoyombo,These ads ran without a disclaimer,≤100,1
395401643992178,TIP Used,These ads ran without a disclaimer,≤100,1
112071155023896,Harper's Bazaar France,These ads ran without a disclaimer,≤100,1
179769572035470,Milan Nikolić,These ads ran without a disclaimer,≤100,1
113558805046270,Tanea Medeiros,These ads ran without a disclaimer,≤100,1
100427526341454,Active active,These ads ran without a disclaimer,≤100,2
315543515306,Jing Daily,These ads ran without a disclaimer,≤100,1
1573569742675365,Voltalia,These ads ran without a disclaimer,≤100,1
109355431916263,Ken Bediako - This life of Sports,These ads ran without a disclaimer,≤100,1
316139502261301,BeInCrypto,These ads ran without a disclaimer,≤100,1
116679401363112,Kelce Jam,These ads ran without a disclaimer,≤100,1
100413328754140,We Will Rank You podcast,These ads ran without a disclaimer,≤100,1
122125810793113,Gam Speeder,These ads ran without a disclaimer,≤100,1
150793518281117,Covestro,These ads ran without a disclaimer,≤100,1
106057958885632,docbotic,These ads ran without a disclaimer,≤100,1
108607351041275,FAB Group,These ads ran without a disclaimer,≤100,1
338109312883186,China Xinhua News,These ads ran without a disclaimer,≤100,2
68644810672,"Liorel, Art from Israel",These ads ran without a disclaimer,≤100,1
115138161487991,Surf Proxy,These ads ran without a disclaimer,≤100,1
19740928752,World Animal Protection,These ads ran without a disclaimer,≤100,2
105962808801596,IZZY - Stream Israel,These ads ran without a disclaimer,≤100,3
343786409509707,The East Gate,These ads ran without a disclaimer,≤100,2
171163390480055,Samson Rope Technologies,These ads ran without a disclaimer,≤100,2
105639025839199,Aiko Energy,These ads ran without a disclaimer,≤100,1
101302478014531,Global Alliance of Universities on Climate,These ads ran without a disclaimer,≤100,1
103908345999910,gradvrgorac,These ads ran without a disclaimer,≤100,1
192434641302087,RoshdInsights,These ads ran without a disclaimer,≤100,1
107237888124833,Vy Oanh Authentic - Túi xách cao cấp uy tín,These ads ran without a disclaimer,≤100,2
185561295623272,Move To Help Foundation,These ads ran without a disclaimer,≤100,1
114682908218640,C301-32,These ads ran without a disclaimer,≤100,1
1673669186277733,Freeda,These ads ran without a disclaimer,≤100,1
102415047928145,Shanghai Electric,These ads ran without a disclaimer,≤100,2
110993941170214,ChidoBook,These ads ran without a disclaimer,≤100,1
918318338180165,CHINT GROUP,These ads ran without a disclaimer,≤100,1
354397697217,IEEE Xplore,These ads ran without a disclaimer,≤100,1
120223804387904,dailypositivityboost,These ads ran without a disclaimer,≤100,3
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,31
333141140132864,China.org.cn,These ads ran without a disclaimer,≤100,1
161666143844859,Sandvik,These ads ran without a disclaimer,≤100,1
100912541413695,Más Impulso,These ads ran without a disclaimer,≤100,2
131664893560695,Origins OSU,These ads ran without a disclaimer,≤100,1
100200532855012,Pyrpose,These ads ran without a disclaimer,≤100,1
106774006022127,מסע - Masa Israel Journey,These ads ran without a disclaimer,≤100,3
103659765532260,華夏focus,These ads ran without a disclaimer,≤100,3
1422513341405155,TAY,These ads ran without a disclaimer,≤100,1
994977213848354,Sarx,These ads ran without a disclaimer,≤100,1
106701185163801,Your Hacks Spot,These ads ran without a disclaimer,≤100,1
114162855308118,KAS Media Programme South East Europe,These ads ran without a disclaimer,≤100,1
109926928389181,Gabriel Nunes,These ads ran without a disclaimer,≤100,3
137775936298821,HoneyTrek,These ads ran without a disclaimer,≤100,1
307682176615916,ACT2gether,These ads ran without a disclaimer,≤100,1
947141812042694,Egypt Energy Show - Egypes,These ads ran without a disclaimer,≤100,1
110037209020562,Wanderlust Travel Magazine,These ads ran without a disclaimer,≤100,1
101545705215204,Wild Iconic,These ads ran without a disclaimer,≤100,1
188872144758,CCTV,These ads ran without a disclaimer,≤100,1
117052698001766,First Wala,These ads ran without a disclaimer,≤100,1
1407800559480010,Hirmer Verlag,These ads ran without a disclaimer,≤100,1
100133042448587,Sneaker Toast Magazine,These ads ran without a disclaimer,≤100,1
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,1
1589154051350606,FOZ - Friends of Zion Museum,These ads ran without a disclaimer,≤100,1
107706102295108,Wire Tool,These ads ran without a disclaimer,≤100,2
101054365776547,Charming Changzhou,These ads ran without a disclaimer,≤100,1
722256984867966,Raytheon Missiles & Defense,These ads ran without a disclaimer,≤100,1
267353906619818,Mr. Gugu & Miss Go,These ads ran without a disclaimer,≤100,1
668701066598159,مجلس حكماء المسلمين,These ads ran without a disclaimer,≤100,1
842484635804171,International Expert,These ads ran without a disclaimer,≤100,1
1883003128429295,Queer Majority,These ads ran without a disclaimer,≤100,1
216741958412414,Avon Worldwide,These ads ran without a disclaimer,≤100,1
131189377574,MDPI,These ads ran without a disclaimer,≤100,2
121350964566751,DHL Motorsports,These ads ran without a disclaimer,≤100,1
105958935270880,Ignitation DNA Motivation,These ads ran without a disclaimer,≤100,1
150498365045300,Gruppo Colle S.r.l.,These ads ran without a disclaimer,≤100,1
134331253305084,ITI International Team for Implantology,These ads ran without a disclaimer,≤100,1
114184975000819,Unexplained Beasts,These ads ran without a disclaimer,≤100,1
476179919621255,Misbar - مسبار,These ads ran without a disclaimer,≤100,1
107647258831836,Weregreenly- Magazine Page 3,These ads ran without a disclaimer,≤100,1
103172549436914,Noticias del mundo todos los días,These ads ran without a disclaimer,≤100,1
105494315161744,talkdiplomacy,These ads ran without a disclaimer,≤100,6
110980888642151,Twibbon April,These ads ran without a disclaimer,≤100,4
102491502776287,Nancy Proxy,These ads ran without a disclaimer,≤100,1
102211979093712,EdHeroes,These ads ran without a disclaimer,≤100,1
101358036245588,App Leap,These ads ran without a disclaimer,≤100,1
2335613803134168,Okori Digital,These ads ran without a disclaimer,≤100,1
114656384878946,Tockazarez.hr,These ads ran without a disclaimer,≤100,1
104099512361482,Funnies Now - Magazine,These ads ran without a disclaimer,≤100,4
14957887077,Freedom House,These ads ran without a disclaimer,≤100,1
117697811288537,Super Master,These ads ran without a disclaimer,≤100,1
107672048688554,Aproudtee,These ads ran without a disclaimer,≤100,1
172348652806226,DEKRA,These ads ran without a disclaimer,≤100,1
545875115498387,Anexas Consultancy,These ads ran without a disclaimer,≤100,1
100946331929105,Schola Palatina,These ads ran without a disclaimer,≤100,1
429957570419097,Professor Israel,These ads ran without a disclaimer,≤100,1
111315691692431,João Pedro,These ads ran without a disclaimer,≤100,1
115575820139019,Af Fhyf,These ads ran without a disclaimer,≤100,1
2200139000274127,Top Speeder 2022,These ads ran without a disclaimer,≤100,2
983135718420987,Visit Jiangsu,These ads ran without a disclaimer,≤100,1
102023009327901,Global Compassion Coalition,These ads ran without a disclaimer,≤100,2
125540182400469,The Daily Resource,These ads ran without a disclaimer,≤100,1
137223326998592,Ashleyjtoddblog,These ads ran without a disclaimer,≤100,1
1473321922884514,Chińskie Radio Międzynarodowe,These ads ran without a disclaimer,≤100,2
155438574470276,DW українською,These ads ran without a disclaimer,≤100,3
108061471650955,SoluTec,These ads ran without a disclaimer,≤100,2
100960082205245,More Hackz - the 1000 page,These ads ran without a disclaimer,≤100,1
154680184946903,Superplastic,These ads ran without a disclaimer,≤100,1
609131619115590,O čem se mluví,These ads ran without a disclaimer,≤100,1
142329112477770,البنك الدولي,These ads ran without a disclaimer,≤100,2
886617328031302,African History,These ads ran without a disclaimer,≤100,1