Page ID,Page name,Disclaimer,Amount spent (NIO),Number of ads in Library
94005676787,Hitachi Vantara,These ads ran without a disclaimer,18279,1
101995169082388,Embajada de China en Nicaragua,Lino Alvarado,4243,1
94199711897,Hábitat para la Humanidad,These ads ran without a disclaimer,1088,2
73006545785,Embajada de Estados Unidos Managua,These ads ran without a disclaimer,496,1
200480966638039,Supremacy 1914,These ads ran without a disclaimer,469,2
142062936237878,Goberna,These ads ran without a disclaimer,419,1
105072076742502,Enrique Sáenz,These ads ran without a disclaimer,407,1
112547942212853,El Kolectivo San Jacinto,These ads ran without a disclaimer,370,1
273770503576765,Libro de Mormón Oficial,These ads ran without a disclaimer,256,1
202318696463177,ILC América Latina,These ads ran without a disclaimer,158,1
106842612220070,Reveal Dance,These ads ran without a disclaimer,151,1
101358036245588,App Leap,These ads ran without a disclaimer,141,1
84739343457,Motor.es,These ads ran without a disclaimer,121,1
113067177682259,PMD - Dogs is my  world,These ads ran without a disclaimer,113,3
105645202272681,Migración Hoy,These ads ran without a disclaimer,110,1
82928774489,Panda Security,These ads ran without a disclaimer,≤100,3
141053389924963,"Zadra Law Firm, P.A.",These ads ran without a disclaimer,≤100,1
238358835684,Mokuanes - El Grupo #1 de Nicaragua,These ads ran without a disclaimer,≤100,1
1702138929926817,Mongabay Latam,These ads ran without a disclaimer,≤100,6
2279264422124393,Vibra Latina Houston,These ads ran without a disclaimer,≤100,1
106331474473738,Esport Mobile,These ads ran without a disclaimer,≤100,1
110132152354600,CADAL,These ads ran without a disclaimer,≤100,2
1465646276779035,Los Secretos Judíos,These ads ran without a disclaimer,≤100,5
121350964566751,DHL Motorsports,These ads ran without a disclaimer,≤100,1
102962402632539,Jaime Parejo,These ads ran without a disclaimer,≤100,1
100427526341454,Active active,These ads ran without a disclaimer,≤100,2
100970059574672,Bisexual.org en Español,These ads ran without a disclaimer,≤100,1
108625789179165,Soi Dog Foundation,These ads ran without a disclaimer,≤100,2
2238793973101135,Leonardo Ferraz,These ads ran without a disclaimer,≤100,10
107706102295108,Wire Tool,These ads ran without a disclaimer,≤100,2
163612320390775,Pantaleon,These ads ran without a disclaimer,≤100,1
560697324034897,Método Arcón,These ads ran without a disclaimer,≤100,1
2200139000274127,Top Speeder 2022,These ads ran without a disclaimer,≤100,2
420916501408724,Smart City Expo Latam Congress,These ads ran without a disclaimer,≤100,2
199897540054379,Félix Gracia,These ads ran without a disclaimer,≤100,1
109062097945462,Radio aurora Boreal,These ads ran without a disclaimer,≤100,1
100912541413695,Más Impulso,These ads ran without a disclaimer,≤100,3
101198866281088,Ana Mariaa,These ads ran without a disclaimer,≤100,2
100685516644957,Fundación Foro,These ads ran without a disclaimer,≤100,1
106973842317140,Sophia Ribeiro,These ads ran without a disclaimer,≤100,9
110242431205971,Ají Caribe TV,These ads ran without a disclaimer,≤100,2
106962558985029,Naty Suarez,These ads ran without a disclaimer,≤100,14
115800384770622,hildemaroinfante,These ads ran without a disclaimer,≤100,1
261393040627329,Universidad Bíblica Latinoamericana,These ads ran without a disclaimer,≤100,1
31292782350,Deutschland.de,These ads ran without a disclaimer,≤100,1
1215954961915796,RumiNews España,These ads ran without a disclaimer,≤100,1
548577435509026,d&b audiotechnik,These ads ran without a disclaimer,≤100,1
111979235195228,TusPapers247.com,These ads ran without a disclaimer,≤100,1
918318338180165,CHINT GROUP,These ads ran without a disclaimer,≤100,1
146822255731958,Fast Travel Games,These ads ran without a disclaimer,≤100,1
1823807254333065,Soy Más País,These ads ran without a disclaimer,≤100,2
103532292462368,WIRED en español,These ads ran without a disclaimer,≤100,1
111254080238119,ZenLyfe,These ads ran without a disclaimer,≤100,1
104630912620139,historia.ordenmundial,These ads ran without a disclaimer,≤100,1
110980888642151,Twibbon April,These ads ran without a disclaimer,≤100,4
179855312221800,SERNA GROUP,These ads ran without a disclaimer,≤100,2
108562965017764,vaccottifer,These ads ran without a disclaimer,≤100,1
333541433377510,Plastico.com,These ads ran without a disclaimer,≤100,1
112872221753732,Sara Perez,These ads ran without a disclaimer,≤100,14
115895401463440,Entretenimiento,These ads ran without a disclaimer,≤100,6
116704324641637,Fundacion De Búsqueda Y Rescate De Migrantes,These ads ran without a disclaimer,≤100,1
101436044789330,pato.cine,These ads ran without a disclaimer,≤100,1
430258463820053,International School of Ministry with Pastor Chris,These ads ran without a disclaimer,≤100,1
124109327256894,Dra. Ângela Pistão,These ads ran without a disclaimer,≤100,4
312898778847834,TERRAM PACIS,These ads ran without a disclaimer,≤100,1
747420075340256,El Agricultor Primero,These ads ran without a disclaimer,≤100,1
114777685207518,Viva - Latinoamérica y El Caribe,These ads ran without a disclaimer,≤100,1
500259383489171,Guidable,These ads ran without a disclaimer,≤100,1
119763351065928,Lst33,These ads ran without a disclaimer,≤100,1
131189377574,MDPI,These ads ran without a disclaimer,≤100,2
139681112726364,Boletín de la Computación,These ads ran without a disclaimer,≤100,2
106540078687090,Curiosity Mind,These ads ran without a disclaimer,≤100,1
187766727949541,Deportivo Alavés,These ads ran without a disclaimer,≤100,9
101849728551147,Fun Break Central,These ads ran without a disclaimer,≤100,3
104593458269168,Your Daily Fun Break,These ads ran without a disclaimer,≤100,2
103902772675099,Paola Noboa,These ads ran without a disclaimer,≤100,15
137223326998592,Ashleyjtoddblog,These ads ran without a disclaimer,≤100,1
137775936298821,HoneyTrek,These ads ran without a disclaimer,≤100,1
102023009327901,Global Compassion Coalition,These ads ran without a disclaimer,≤100,2
106521037944872,actitudhelloworld,These ads ran without a disclaimer,≤100,1
155438574470276,DW українською,These ads ran without a disclaimer,≤100,1
102280836150692,Aprendeyemprendeonline,These ads ran without a disclaimer,≤100,1
316496640057,7iber,These ads ran without a disclaimer,≤100,2
141271779363886,Christian Harfouche,These ads ran without a disclaimer,≤100,1
476179919621255,Misbar - مسبار,These ads ran without a disclaimer,≤100,1
1543353175947544,Tibidabo Ediciones,These ads ran without a disclaimer,≤100,1
608650595820049,The Conqueror Challenges,These ads ran without a disclaimer,≤100,1
1065252286883009,Makur Majeng,These ads ran without a disclaimer,≤100,1
124275457632741,ElectronicSpecifier,These ads ran without a disclaimer,≤100,1
104151925811127,Mario Cartaya,These ads ran without a disclaimer,≤100,1
105607552434777,Instalador Solar,These ads ran without a disclaimer,≤100,1
378875359494716,NutriNews España,These ads ran without a disclaimer,≤100,2
113084254966376,Edward Maestas,These ads ran without a disclaimer,≤100,1
7456251769,SAP,These ads ran without a disclaimer,≤100,1
101054365776547,Charming Changzhou,These ads ran without a disclaimer,≤100,1
984203991753488,Research Outreach,These ads ran without a disclaimer,≤100,1
114589821232581,Clean Energist,These ads ran without a disclaimer,≤100,1
122125810793113,Gam Speeder,These ads ran without a disclaimer,≤100,1
105036179534606,"Gildan, Making Apparel Better",These ads ran without a disclaimer,≤100,2
343786409509707,The East Gate,These ads ran without a disclaimer,≤100,3
1482174305394430,el pupitre de Pilu,These ads ran without a disclaimer,≤100,1
105812535829655,Get-11,These ads ran without a disclaimer,≤100,1
142914269087072,Cornell Lab of Ornithology,These ads ran without a disclaimer,≤100,1
1051543115032031,NuunOfficial,These ads ran without a disclaimer,≤100,1
103659765532260,華夏focus,These ads ran without a disclaimer,≤100,2
115575820139019,Af Fhyf,These ads ran without a disclaimer,≤100,1
117039841320523,Big Pink Youth Dialogue,These ads ran without a disclaimer,≤100,1
1673669186277733,Freeda,These ads ran without a disclaimer,≤100,1
117052698001766,First Wala,These ads ran without a disclaimer,≤100,1
112757083778788,"Economic Daily, China",These ads ran without a disclaimer,≤100,1
105073207967492,CTG Perú,These ads ran without a disclaimer,≤100,1
113558805046270,Tanea Medeiros,These ads ran without a disclaimer,≤100,1
285530825204,Klitschko,These ads ran without a disclaimer,≤100,4
79511407410,Mercedes-AMG Petronas F1 Team,These ads ran without a disclaimer,≤100,1
110993941170214,ChidoBook,These ads ran without a disclaimer,≤100,1
102211979093712,EdHeroes,These ads ran without a disclaimer,≤100,1
106722822373735,The Fun Insider,These ads ran without a disclaimer,≤100,1
1589154051350606,FOZ - Friends of Zion Museum,These ads ran without a disclaimer,≤100,1
105712152391313,Hispanic Kids' Health,These ads ran without a disclaimer,≤100,1
102998939765184,Persian bms,These ads ran without a disclaimer,≤100,3
156279764411149,Times Higher Education,These ads ran without a disclaimer,≤100,1
820262131363591,Arabi21 - عربي21,These ads ran without a disclaimer,≤100,1
354397697217,IEEE Xplore,These ads ran without a disclaimer,≤100,1
665908820279437,Manuel García,These ads ran without a disclaimer,≤100,1
111699798204420,Com Stories,These ads ran without a disclaimer,≤100,1
1498021203828633,Poder Geopolítico,These ads ran without a disclaimer,≤100,1
546533708879734,TECH TREND PRO,These ads ran without a disclaimer,≤100,1
100175019675499,Yo Soy Romy Ortiz,These ads ran without a disclaimer,≤100,1
47815171686,Banyan Tree Hotels & Resorts,These ads ran without a disclaimer,≤100,1
114184975000819,Unexplained Beasts,These ads ran without a disclaimer,≤100,2
418775708189870,Social Movement Technologies,These ads ran without a disclaimer,≤100,1
102262146179303,Group Grass,These ads ran without a disclaimer,≤100,1
116679401363112,Kelce Jam,These ads ran without a disclaimer,≤100,2
154680184946903,Superplastic,These ads ran without a disclaimer,≤100,1
125540182400469,The Daily Resource,These ads ran without a disclaimer,≤100,1
150793518281117,Covestro,These ads ran without a disclaimer,≤100,1
8428544759,Six Degrees Records,These ads ran without a disclaimer,≤100,1
1883003128429295,Queer Majority,These ads ran without a disclaimer,≤100,2
2335613803134168,Okori Digital,These ads ran without a disclaimer,≤100,1
103848039309631,chepeelcaballito,These ads ran without a disclaimer,≤100,1
102415047928145,Shanghai Electric,These ads ran without a disclaimer,≤100,4
722256984867966,Raytheon Missiles & Defense,These ads ran without a disclaimer,≤100,1
95775573753,Frontiers,These ads ran without a disclaimer,≤100,2
105039417804164,IZZY - Stream Israel,These ads ran without a disclaimer,≤100,1
152914224736727,Banco Mundial,These ads ran without a disclaimer,≤100,4
155174084508744,Banque mondiale,These ads ran without a disclaimer,≤100,1
101019091996801,Simbaly - Beauty,These ads ran without a disclaimer,≤100,1
983135718420987,Visit Jiangsu,These ads ran without a disclaimer,≤100,1
618086438391102,Taiwan in the EU and Belgium,These ads ran without a disclaimer,≤100,1
652445951621134,Professor Winston's Community College,These ads ran without a disclaimer,≤100,1
100374392742057,Weregreenly- Magazine,These ads ran without a disclaimer,≤100,26
101289218907718,Web News,These ads ran without a disclaimer,≤100,1
357444017777047,Bronson.men,These ads ran without a disclaimer,≤100,2
105958935270880,Ignitation DNA Motivation,These ads ran without a disclaimer,≤100,2
111232968542053,Manual del Instalador Solar,These ads ran without a disclaimer,≤100,1
102207552798601,Youth clicks,These ads ran without a disclaimer,≤100,1
142329112477770,البنك الدولي,These ads ran without a disclaimer,≤100,1
1582097658746272,safe2choose,These ads ran without a disclaimer,≤100,1
161666143844859,Sandvik,These ads ran without a disclaimer,≤100,1
103101872615379,AKK03,These ads ran without a disclaimer,≤100,1
1857723914544494,Cristoviveenmi tv,These ads ran without a disclaimer,≤100,1
120710477664248,Fpl mopthefloor,These ads ran without a disclaimer,≤100,1
150830641743673,Tomplay,These ads ran without a disclaimer,≤100,3
111315691692431,João Pedro,These ads ran without a disclaimer,≤100,1
130136833750497,IELTS Official,These ads ran without a disclaimer,≤100,1
102491502776287,Nancy Proxy,These ads ran without a disclaimer,≤100,1
105962808801596,IZZY - Stream Israel,These ads ran without a disclaimer,≤100,3
315543515306,Jing Daily,These ads ran without a disclaimer,≤100,1
117697811288537,Super Master,These ads ran without a disclaimer,≤100,1
104099512361482,Funnies Now - Magazine,These ads ran without a disclaimer,≤100,2
100960082205245,More Hackz - the 1000 page,These ads ran without a disclaimer,≤100,1
429957570419097,Professor Israel,These ads ran without a disclaimer,≤100,1
105686442303512,CTGI,These ads ran without a disclaimer,≤100,1
101179095098420,Zone Optimum Health,These ads ran without a disclaimer,≤100,1
100172476278127,Easy Study,These ads ran without a disclaimer,≤100,1
100301029708896,mimlatam,These ads ran without a disclaimer,≤100,1
120223804387904,dailypositivityboost,These ads ran without a disclaimer,≤100,2
68644810672,"Liorel, Art from Israel",These ads ran without a disclaimer,≤100,1
101404409466744,Belnestore Sustentable,These ads ran without a disclaimer,≤100,1
149290745229517,Online Antisemitism Task Force,These ads ran without a disclaimer,≤100,1
115138161487991,Surf Proxy,These ads ran without a disclaimer,≤100,1
216741958412414,Avon Worldwide,These ads ran without a disclaimer,≤100,1
107006272360468,Workers Agency,These ads ran without a disclaimer,≤100,1
1490336211217327,AudioPhix,These ads ran without a disclaimer,≤100,2
1834313933459789,BBC StoryWorks,These ads ran without a disclaimer,≤100,1
106765298897445,Mineração Inteligente,These ads ran without a disclaimer,≤100,1
256346654515877,Mercury Marine Latin America/Caribbean,These ads ran without a disclaimer,≤100,2
101335125357095,Czapp,These ads ran without a disclaimer,≤100,1
106315305777404,Rafa Alatorre,These ads ran without a disclaimer,≤100,1
771462172882741,OnePath Network,These ads ran without a disclaimer,≤100,1
100162738241949,Xu Zeyu,These ads ran without a disclaimer,≤100,1
133945616646913,RioOnWatch.org,These ads ran without a disclaimer,≤100,1